epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_lr,val_precision,val_recall
0,0.0,0.8888888955116272,0.6931471824645996,1e-04,0.0,0.0,NA,NA,NA,NA,NA,NA
1,0.0,1.0,0.6928961873054504,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
2,0.0,1.0,0.6926068067550659,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
3,0.0,1.0,0.6923407912254333,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
4,0.0,1.0,0.6921049356460571,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
5,0.0,1.0,0.691657304763794,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
6,0.0,1.0,0.6915441155433655,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
7,0.0,1.0,0.6911038160324097,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
8,0.0,1.0,0.6907424926757812,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
9,0.0,1.0,0.6904242038726807,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
10,0.0,1.0,0.6902399063110352,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
11,0.0,1.0,0.6899672150611877,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
12,0.0,1.0,0.6895880699157715,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
13,0.0,1.0,0.689177930355072,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
14,0.0,1.0,0.688746452331543,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
15,0.0,1.0,0.6887299418449402,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
16,0.0,1.0,0.688409686088562,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
17,0.0,1.0,0.6879785060882568,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
18,0.0,1.0,0.6875541806221008,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
19,0.0,1.0,0.6872126460075378,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
20,0.0,1.0,0.6870009303092957,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
21,0.0,1.0,0.6865095496177673,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
22,0.0,1.0,0.6866326332092285,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
23,0.0,1.0,0.686147153377533,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
24,0.0,1.0,0.686053454875946,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
25,0.0,1.0,0.6854898929595947,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
26,0.0,1.0,0.6848438382148743,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
27,0.0,1.0,0.6847323179244995,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
28,0.0,1.0,0.6845146417617798,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
29,0.0,1.0,0.6838268041610718,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
30,0.0,1.0,0.6831490397453308,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
31,0.0,1.0,0.6833560466766357,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
32,0.0,1.0,0.6823089122772217,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
33,0.0,1.0,0.6821082830429077,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
34,0.0,1.0,0.6812746524810791,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
35,0.0,1.0,0.6814049482345581,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
36,0.0,1.0,0.6826175451278687,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
37,0.0,1.0,0.6818268299102783,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
38,0.0,1.0,0.6808003187179565,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
39,0.0,1.0,0.679802417755127,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
40,0.0,1.0,0.6807633638381958,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
41,0.0,1.0,0.6797530651092529,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
42,0.0,1.0,0.6785579919815063,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
43,0.0,1.0,0.6770724654197693,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
44,0.0,1.0,0.6785987019538879,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
45,0.0,1.0,0.6782112121582031,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
46,0.0,1.0,0.6766133904457092,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
47,0.0,1.0,0.6773738861083984,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
48,0.0,1.0,0.677288830280304,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
49,0.0,1.0,0.6767730712890625,1e-04,1.0,1.0,NA,NA,NA,NA,NA,NA
