epoch,auc,binary_accuracy,loss,lr,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.21862244606018066,0.5340136289596558,0.34513944387435913,1e-04,0.07352941483259201,0.4761904776096344,0.2142857164144516,0.7857142686843872,0.34477341175079346,0.1666666716337204,0.5
1,0.2380830943584442,0.7508503198623657,0.31045404076576233,1e-04,0.09652509540319443,0.2976190447807312,0.2142857164144516,0.9285714030265808,0.33976784348487854,0.0,0.0
2,0.2189140021800995,0.8477890491485596,0.2796131670475006,1e-04,0.13740457594394684,0.2142857164144516,0.2142857164144516,0.9285714030265808,0.3309088945388794,0.0,0.0
3,0.22059038281440735,0.8894557952880859,0.24633841216564178,1e-04,0.1034482792019844,0.0714285746216774,0.2142857164144516,0.9285714030265808,0.3173312842845917,0.0,0.0
4,0.24642856419086456,0.9005101323127747,0.2179747074842453,1e-04,0.13333334028720856,0.0714285746216774,0.2142857164144516,0.9285714030265808,0.2987954318523407,0.0,0.0
5,0.20834548771381378,0.9115645885467529,0.19121038913726807,1e-04,0.0833333358168602,0.02380952425301075,0.2142857164144516,0.9285714030265808,0.2752158045768738,0.0,0.0
6,0.23986880481243134,0.9200680255889893,0.17012032866477966,1e-04,0.25,0.0595238097012043,0.2142857164144516,0.9285714030265808,0.24626360833644867,0.0,0.0
7,0.19912536442279816,0.920918345451355,0.15630848705768585,1e-04,0.09090909361839294,0.011904762126505375,0.2142857164144516,0.9285714030265808,0.21722479164600372,0.0,0.0
8,0.2074708491563797,0.9234693646430969,0.1421717405319214,1e-04,0.125,0.011904762126505375,0.2142857164144516,0.9285714030265808,0.1916370987892151,0.0,0.0
9,0.2199343889951706,0.9251700639724731,0.13254588842391968,1e-04,0.25,0.02380952425301075,0.2142857164144516,0.9285714030265808,0.17087748646736145,0.0,0.0
10,0.23024781048297882,0.9277211427688599,0.12325915694236755,1e-04,0.4444444477558136,0.0476190485060215,0.2142857164144516,0.9285714030265808,0.15539313852787018,0.0,0.0
